ID,default.payment.next.month,SEX,EDUCATION,MARRIAGE,AGE,LIMIT_BAL,PAY_1,PAY_3,PAY_5,BILL_AMT1,BILL_AMT3,BILL_AMT5,PAY_AMT1,PAY_AMT3,PAY_AMT5
91,0,Female,Graduate School,0,39,280000.0,-1,-1,0,7524.0,3968.0,0.0,0.0,0.0,0.0
92,0,Female,Graduate School,0,27,100000.0,-2,-2,-2,-2000.0,0.0,0.0,7555.0,0.0,0.0
93,0,Female,University,1,37,160000.0,-1,-1,-1,880.0,840.0,0.0,1602.0,840.0,0.0
94,0,Female,University,0,23,60000.0,0,0,0,45648.0,47214.0,19209.0,1937.0,682.0,816.0
95,0,Male,University,0,35,90000.0,0,0,0,83725.0,87653.0,30942.0,3621.0,1179.0,1104.0
96,0,Male,Graduate School,1,43,360000.0,-1,-1,-1,3967.0,3394.0,26370.0,8339.0,12902.0,0.0
97,0,Male,Graduate School,0,27,150000.0,0,0,0,86009.0,89006.0,87725.0,4031.0,3266.0,1698.0
98,0,Female,High School,1,22,50000.0,0,0,0,18722.0,16997.0,8866.0,1411.0,379.0,321.0
99,1,Male,University,1,38,20000.0,0,0,0,17973.0,19559.0,17928.0,1699.0,626.0,150.0
100,0,Male,Graduate School,0,32,140000.0,-2,-2,-2,672.0,850.0,100.0,10212.0,415.0,1430.0
101,0,Female,Graduate School,0,30,380000.0,-2,-1,0,-81.0,32475.0,33564.0,223.0,1171.0,1250.0
102,0,Male,Graduate School,1,63,480000.0,0,0,2,422069.0,479432.0,471145.0,16078.0,17000.0,18000.0
103,1,Female,High School,0,22,50000.0,0,0,0,44698.0,38347.0,23477.0,1767.0,1002.0,995.0
104,0,Female,University,0,26,60000.0,2,2,2,56685.0,59175.0,55447.0,0.0,2511.0,3000.0
105,0,Female,University,0,24,70000.0,-1,-2,-2,5580.0,0.0,0.0,0.0,0.0,26529.0
106,0,Female,University,1,36,80000.0,-1,-1,-1,6108.0,3277.0,1150.0,2861.0,3319.0,1150.0
107,0,Male,Graduate School,0,52,350000.0,-1,-1,-1,713.0,722.0,1150.0,2272.0,867.0,5263.0
108,0,Male,University,0,38,130000.0,0,0,-1,171438.0,39940.0,44127.0,10908.0,133657.0,133841.0
109,0,Male,University,1,35,360000.0,1,-2,-2,-103.0,-103.0,-103.0,0.0,0.0,0.0
110,0,Female,Graduate School,1,31,330000.0,0,2,0,105879.0,105594.0,106491.0,9260.0,3593.0,15794.0
111,0,Male,High School,1,47,50000.0,0,2,0,13244.0,15181.0,16671.0,2000.0,1000.0,1000.0
112,0,Male,University,1,41,280000.0,2,2,2,135673.0,134813.0,152174.0,6500.0,14254.0,0.0
113,0,Female,Graduate School,0,24,100000.0,0,0,0,52128.0,54477.0,60100.0,2000.0,3076.0,3000.0
114,0,Male,University,0,41,50000.0,0,0,0,19015.0,20259.0,20311.0,1340.0,700.0,724.0
115,1,Male,Graduate School,0,24,30000.0,-1,0,3,18199.0,18631.0,20692.0,0.0,3000.0,1000.0
116,0,Male,Graduate School,0,28,240000.0,-1,-1,-1,326.0,326.0,476.0,326.0,5676.0,326.0
117,1,Male,University,0,26,80000.0,2,0,0,14029.0,16630.0,17629.0,2000.0,1000.0,1000.0
118,0,Male,University,1,34,400000.0,-1,-1,-1,19660.0,11867.0,14837.0,9677.0,7839.0,7959.0
119,0,Female,University,0,38,240000.0,0,0,-1,50254.0,53015.0,1307.0,2000.0,3000.0,1203.0
120,1,Male,High School,0,37,50000.0,2,2,2,46004.0,48953.0,49318.0,1000.0,1000.0,2800.0
121,1,Male,Graduate School,1,40,450000.0,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0
122,0,Female,Graduate School,1,48,110000.0,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0
123,1,Female,University,1,35,310000.0,2,0,0,304991.0,306314.0,246491.0,13019.0,8407.0,6833.0
124,0,Male,Graduate School,0,27,20000.0,0,0,0,19115.0,19298.0,19717.0,1404.0,600.0,313.0
125,0,Male,University,0,23,20000.0,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0
126,0,Male,High School,0,52,200000.0,0,0,0,110151.0,98951.0,103146.0,3568.0,3602.0,3669.0
127,1,Male,Graduate School,1,36,180000.0,0,0,0,163736.0,99278.0,97753.0,4655.0,2067.0,2217.0
128,1,Male,University,1,51,50000.0,0,0,0,3347.0,4503.0,6375.0,1000.0,1300.0,1200.0
129,0,Male,High School,1,55,60000.0,3,2,0,60521.0,57244.0,29510.0,2504.0,1200.0,1100.0
130,0,Female,Graduate School,0,23,30000.0,1,-2,-1,4000.0,3508.0,13744.0,5645.0,27.0,5911.0
131,0,Male,Graduate School,0,41,240000.0,1,-1,0,95.0,3301.0,360.0,2622.0,0.0,1737.0
132,0,Male,University,1,34,420000.0,0,0,0,253454.0,229049.0,210606.0,9744.0,7603.0,7253.0
133,0,Male,High School,1,46,330000.0,0,0,0,227389.0,229644.0,227775.0,8210.0,8025.0,8391.0
134,0,Female,University,0,22,30000.0,0,0,0,28452.0,26712.0,17603.0,2000.0,0.0,0.0
135,0,Male,University,1,34,240000.0,0,0,2,10674.0,13681.0,14158.0,1500.0,0.0,0.0
136,0,Male,Graduate School,0,27,150000.0,0,0,0,17444.0,22000.0,27200.0,2500.0,3000.0,3500.0
137,0,Female,University,1,33,210000.0,0,0,0,7166.0,8792.0,4404.0,1500.0,1000.0,2000.0
138,1,Female,High School,1,51,50000.0,-1,-1,-2,752.0,5880.0,0.0,300.0,0.0,0.0
139,0,Male,Graduate School,0,24,50000.0,0,0,0,50801.0,49586.0,19375.0,2360.0,1000.0,870.0
140,1,Male,Graduate School,0,47,240000.0,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0
141,0,Male,University,0,28,180000.0,-1,-1,-1,1832.0,832.0,416.0,0.0,332.0,3500.0
142,0,Male,University,0,23,50000.0,1,2,0,10131.0,20583.0,19879.0,1000.0,400.0,800.0
143,0,Male,University,0,29,170000.0,-2,-2,-2,12159.0,10000.0,9983.0,10000.0,10000.0,15863.0
144,0,Male,Graduate School,0,29,20000.0,-1,-1,0,1199.0,344.0,6702.0,15586.0,2340.0,339.0
145,0,Male,Graduate School,0,28,50000.0,0,0,0,4999.0,7315.0,10624.0,1000.0,2000.0,1100.0
146,1,Female,University,0,27,170000.0,0,0,0,19269.0,20852.0,17918.0,1661.0,351.0,182.0
147,0,Male,Graduate School,0,34,200000.0,1,0,0,197236.0,93069.0,132233.0,8000.0,55500.0,5000.0
148,0,Female,University,1,23,80000.0,1,3,0,9168.0,10205.0,10123.0,1650.0,0.0,2091.0
149,0,Female,Graduate School,1,60,260000.0,1,-1,-1,-1100.0,21400.0,969.0,0.0,0.0,1000.0
150,0,Male,University,1,32,140000.0,0,0,2,86627.0,68336.0,58319.0,3455.0,5000.0,2100.0
151,0,Male,Graduate School,0,25,80000.0,0,0,0,42444.0,43476.0,41951.0,30000.0,6000.0,2000.0
152,0,Male,Graduate School,0,41,350000.0,1,-1,-1,208.0,1000.0,0.0,2906.0,630.0,0.0
153,0,Female,University,1,56,280000.0,0,0,0,208775.0,132257.0,177145.0,8042.0,5137.0,7000.0
154,0,Female,High School,0,26,30000.0,0,0,0,9014.0,11427.0,13084.0,1700.0,1000.0,1500.0
155,0,Male,Graduate School,1,34,140000.0,0,0,0,23944.0,32073.0,47086.0,5000.0,11885.0,3000.0
156,0,Female,Graduate School,0,37,200000.0,0,0,0,105420.0,89643.0,92505.0,4000.0,3250.0,3560.0
157,0,Female,High School,0,30,200000.0,0,0,0,196031.0,189524.0,146975.0,7300.0,7680.0,5000.0
158,1,Male,High School,1,45,210000.0,2,4,5,115785.0,129847.0,145533.0,10478.0,11078.0,11678.0
159,0,Male,High School,1,57,50000.0,3,0,0,12854.0,13447.0,13711.0,0.0,500.0,600.0
160,0,Male,Graduate School,0,41,30000.0,2,2,2,24357.0,26718.0,27579.0,3500.0,2200.0,1200.0
161,0,Male,University,0,27,50000.0,2,-1,-1,390.0,780.0,1080.0,390.0,216.0,0.0
162,0,Male,High School,1,47,290000.0,-1,-1,0,1234.0,396.0,396.0,396.0,792.0,423.0
163,0,Female,Graduate School,1,34,250000.0,0,2,0,141223.0,151841.0,155997.0,17994.0,5469.0,6811.0
164,0,Female,University,1,46,60000.0,0,0,0,21148.0,24908.0,26655.0,3000.0,1500.0,1500.0
165,0,Female,Graduate School,0,27,110000.0,0,0,0,101640.0,104855.0,76058.0,5500.0,3000.0,3000.0
166,0,Male,Graduate School,0,50,370000.0,-2,-2,-2,6093.0,8204.0,4792.0,15383.0,15413.0,13453.0
167,0,Male,University,1,27,100000.0,-1,2,0,102349.0,58824.0,22979.0,3166.0,1330.0,12.0
168,0,Female,University,1,35,90000.0,0,0,0,72112.0,75526.0,85852.0,3500.0,3652.0,4000.0
169,0,Female,University,0,22,50000.0,0,0,0,28040.0,29366.0,28318.0,1510.0,982.0,1277.0
170,0,Male,University,0,37,270000.0,0,0,0,37695.0,30534.0,26344.0,5000.0,3000.0,3000.0
171,0,Female,Graduate School,0,30,300000.0,-1,-1,-1,688.0,0.0,2672.0,3288.0,4340.0,800.0
172,0,Female,University,0,22,50000.0,-1,0,0,8567.0,11650.0,3115.0,15000.0,149.0,5000.0
173,1,Female,Graduate School,0,24,50000.0,1,-2,-2,-709.0,-709.0,-3272.0,0.0,0.0,0.0
174,0,Male,Graduate School,0,29,360000.0,1,-1,-2,0.0,77.0,0.0,0.0,0.0,0.0
175,1,Male,High School,1,56,130000.0,1,2,2,64617.0,67282.0,72796.0,3000.0,3000.0,0.0
176,0,Male,Graduate School,0,30,80000.0,-2,0,0,6187.0,600.0,1919.0,504.0,1000.0,3500.0
177,0,Male,University,0,30,50000.0,1,0,0,48860.0,48363.0,22877.0,0.0,1000.0,0.0
178,0,Female,University,0,22,20000.0,0,0,0,16001.0,13221.0,14034.0,1212.0,500.0,1500.0
179,0,Female,University,1,29,80000.0,0,2,0,77883.0,80250.0,10662.0,5800.0,600.0,1000.0
180,0,Male,Graduate School,0,37,240000.0,-1,2,0,12212.0,25331.0,26279.0,15000.0,2000.0,1256.0
181,0,Female,High School,0,35,80000.0,0,0,0,49608.0,14873.0,17770.0,12500.0,3000.0,3000.0
182,0,Female,Graduate School,1,47,500000.0,0,0,0,56422.0,110340.0,108834.0,70010.0,30000.0,52183.0
183,1,Female,University,1,24,60000.0,0,0,0,58024.0,48839.0,19323.0,2500.0,3000.0,737.0
184,0,Male,University,0,25,20000.0,0,0,0,10642.0,13070.0,1615.0,1200.0,601.0,1824.0
185,1,Female,University,1,38,100000.0,1,0,2,14483.0,15323.0,15868.0,0.0,1500.0,1000.0
186,0,Female,Graduate School,0,32,360000.0,1,-1,-1,2616.0,5287.0,13881.0,57087.0,68454.0,16250.0
187,1,Female,High School,0,47,200000.0,2,2,2,199436.0,193936.0,200162.0,8214.0,6800.0,0.0
188,0,Female,University,1,34,130000.0,1,0,0,0.0,10270.0,13864.0,5396.0,3500.0,1000.0
189,0,Female,University,0,31,20000.0,1,4,3,21703.0,21461.0,20219.0,0.0,0.0,760.0
190,0,Male,Graduate School,0,32,310000.0,0,0,0,59901.0,62102.0,60387.0,10020.0,10057.0,5060.0
191,1,Female,Graduate School,0,27,60000.0,2,0,2,19625.0,21669.0,22499.0,1342.0,2000.0,900.0
192,0,Female,Graduate School,0,29,180000.0,-1,-1,-1,11386.0,0.0,17227.0,199.0,0.0,341.0
193,0,Female,Graduate School,0,24,180000.0,-1,2,0,14670.0,21282.0,0.0,37867.0,200.0,0.0
194,0,Male,University,1,36,50000.0,0,0,-1,47790.0,18250.0,72.0,2000.0,2000.0,1000.0
195,1,Female,Graduate School,0,24,50000.0,1,2,2,36166.0,37680.0,39228.0,1900.0,1700.0,1600.0
196,0,Female,University,1,34,150000.0,-2,-2,-2,0.0,0.0,0.0,0.0,116.0,1500.0
197,0,Female,Graduate School,0,22,20000.0,0,0,-1,18553.0,19065.0,18868.0,1500.0,541.0,693.0
198,0,Female,Graduate School,1,34,500000.0,-2,-2,-1,412.0,2299.0,1206.0,138.0,1251.0,1151.0
199,1,Female,High School,0,22,30000.0,1,2,0,29010.0,28122.0,1630.0,1000.0,1714.0,0.0
200,0,Female,Graduate School,1,38,180000.0,-2,-2,-2,750.0,0.0,0.0,0.0,0.0,0.0
201,0,Male,Graduate School,0,31,140000.0,0,2,0,27123.0,17985.0,27407.0,25000.0,3000.0,0.0
202,0,Female,Graduate School,0,26,140000.0,-1,-1,-1,13424.0,13001.0,13506.0,10000.0,5841.0,487.0
203,0,Male,University,0,26,120000.0,0,0,0,107314.0,113736.0,119131.0,5000.0,4152.0,5000.0
204,0,Female,University,1,48,360000.0,0,0,0,226430.0,234192.0,173557.0,9100.0,5800.0,5600.0
205,0,Male,High School,1,43,20000.0,-1,0,0,227.0,20237.0,19450.0,22359.0,1258.0,3457.0
206,0,Male,Graduate School,1,47,100000.0,-1,-1,-1,390.0,390.0,390.0,1473.0,390.0,0.0
207,1,Female,University,1,41,210000.0,-1,-1,-1,3088.0,343.0,877.0,1586.0,3763.0,0.0
208,1,Female,University,0,24,80000.0,0,0,0,81625.0,79599.0,49509.0,3200.0,2038.0,1800.0
209,0,Female,Graduate School,1,50,330000.0,-1,-1,-2,8872.0,2854.0,0.0,4345.0,1702.0,1709.0
210,0,Male,Graduate School,0,24,220000.0,0,0,-1,105607.0,111520.0,0.0,5000.0,8303.0,85632.0
211,1,Female,Graduate School,1,38,210000.0,1,-1,-1,0.0,250.0,789.0,0.0,0.0,1222.0
212,0,Female,High School,1,43,40000.0,0,0,0,38257.0,38103.0,33138.0,1700.0,1200.0,1500.0
213,0,Male,University,0,39,30000.0,0,0,0,28347.0,18388.0,7736.0,3036.0,0.0,2000.0
214,0,Male,University,0,27,470000.0,2,2,0,296573.0,307843.0,305145.0,13000.0,0.0,10838.0
215,0,Male,High School,1,42,30000.0,-1,-1,-1,390.0,390.0,1320.0,390.0,240.0,0.0
216,1,Female,University,1,36,240000.0,1,-2,-2,-946.0,-946.0,-946.0,0.0,0.0,0.0
217,0,Male,University,0,36,80000.0,2,0,0,79278.0,78534.0,76235.0,3100.0,3400.0,3500.0
218,0,Female,High School,0,31,110000.0,0,0,0,89989.0,79288.0,63818.0,4000.0,3000.0,3000.0
219,0,Female,Graduate School,0,38,310000.0,-1,-1,-2,1424.0,126.0,0.0,4542.0,0.0,0.0
220,1,Female,Graduate School,1,40,360000.0,2,2,0,105167.0,112157.0,117845.0,12000.0,5900.0,4500.0
221,0,Female,High School,0,45,330000.0,0,0,0,335196.0,335527.0,335760.0,12388.0,12116.0,12213.0
222,0,Female,University,0,35,300000.0,0,0,0,291619.0,205629.0,208464.0,12019.0,17000.0,9557.0
223,0,Female,University,0,33,320000.0,0,0,0,91653.0,108597.0,43805.0,10042.0,2117.0,5045.0
224,1,Female,High School,0,37,50000.0,1,2,0,52626.0,49205.0,30249.0,0.0,1500.0,1201.0
225,0,Female,Graduate School,0,28,170000.0,0,0,0,130370.0,128900.0,127280.0,6530.0,22500.0,4877.0
226,0,Male,High School,1,44,350000.0,-1,-1,-1,3265.0,1864.0,0.0,2686.0,569.0,0.0
227,0,Male,University,1,37,20000.0,0,0,0,16455.0,18902.0,18650.0,1609.0,663.0,834.0
228,1,Male,University,0,23,50000.0,2,0,0,49758.0,44116.0,20066.0,2401.0,2004.0,707.0
229,0,Female,High School,0,24,20000.0,1,0,0,19154.0,17233.0,1730.0,0.0,500.0,0.0
230,0,Female,Graduate School,0,24,50000.0,0,0,0,35084.0,30937.0,10385.0,2090.0,1002.0,1011.0
231,1,Male,University,0,23,20000.0,1,0,2,20235.0,16856.0,13454.0,0.0,1000.0,1000.0
232,0,Male,University,1,26,50000.0,0,-2,-1,102800.0,0.0,45567.0,0.0,2624.0,1747.0
233,1,Male,University,0,34,190000.0,2,0,2,129801.0,134379.0,140120.0,5000.0,10000.0,12118.0
234,0,Female,University,1,33,60000.0,0,0,0,58203.0,20934.0,20175.0,1506.0,1000.0,811.0
235,0,Male,Graduate School,0,35,80000.0,-1,-1,-1,7988.0,6848.0,1378.0,3983.0,1719.0,19942.0
236,0,Female,University,0,27,150000.0,0,0,0,127402.0,51547.0,36900.0,4500.0,1566.0,1077.0
237,0,Female,Graduate School,0,31,210000.0,-2,-2,-1,1440.0,7422.0,6082.0,0.0,893.0,2293.0
238,1,Female,High School,1,50,240000.0,0,0,0,234205.0,214642.0,210375.0,10116.0,8008.0,8009.0
239,1,Female,University,0,41,140000.0,0,0,0,19346.0,22940.0,16409.0,3000.0,2198.0,3000.0
240,0,Female,Graduate School,0,28,60000.0,1,2,-2,21501.0,0.0,0.0,0.0,0.0,2285.0
241,0,Male,Graduate School,0,39,50000.0,0,0,0,47174.0,48630.0,30789.0,1800.0,3000.0,2000.0
242,0,Female,University,0,27,50000.0,0,0,0,26655.0,28676.0,28790.0,1800.0,900.0,1200.0
243,0,Female,Graduate School,0,32,180000.0,-1,2,-1,3139.0,2821.0,2821.0,2821.0,0.0,0.0
244,0,Female,Graduate School,0,40,30000.0,-1,2,2,142.0,139.0,19.0,355.0,0.0,60.0
245,0,Female,University,0,40,20000.0,0,0,0,19816.0,20102.0,0.0,1601.0,2114.0,0.0
246,0,Female,University,1,75,250000.0,0,-1,-1,52874.0,1536.0,5572.0,1631.0,1010.0,794.0
247,0,Female,University,0,27,100000.0,0,0,0,37767.0,30036.0,30997.0,1788.0,1100.0,2423.0
248,0,Male,Graduate School,0,25,330000.0,0,0,2,46140.0,48139.0,39450.0,2504.0,5056.0,1023.0
